title,tagline,production_companies,overview,genres,runtime,vote_average
Jay and Silent Bob Strike Back,Jay and Silent Bob Strike Back,"[{'name': 'Dimension Films', 'id': 7405}, {'name': 'View Askew Productions', 'id': 16934}, {'name': 'Miramax', 'id': 53009}]","When Jay and Silent Bob learn that their comic-book alter egos, Bluntman and Chronic, have been sold to Hollywood as part of a big-screen movie that leaves them out of any royalties, the pair travels to Tinseltown to sabotage the production.","[{'id': 35, 'name': 'Comedy'}]",104.0,6.4
The Dark Knight,The Dark Knight,"[{'name': 'DC Comics', 'id': 429}, {'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Syncopy', 'id': 9996}]","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",152.0,8.3
